AG359J14	AG896J04	AG898O07	AG900B21	AG905C17	AG915K04	AG918E15	GCA002480175	HIMB30	LSUCC0096	TOBGMED626	TOBGMED759	TOBGMED814	TOBGNAT109	TOBGNP1444	TOBGNP1472	TOBGRS469	TOBGSAT133	TOBGSP353	UBA11144	UBA11194	UBA12265	UBA8357	UBA9601	UBA9605
ION_41_05M	40389.2624254882	3067.07711753554	29165.4828217089	185864.638241019	142013.042427561	68665.8873449176	36000.464792143	25142.6712426324	37678.5740040228	3736.60046011828	243.270377031439	18914.9876066882	73585.0827120488	29440.0813827135	987.993591907734	7983.88101789472	251031.005443779	36825.7080173224	2526.64657164699	1374.89760896135	2800.69952146688	327.816438957948	125.15562278775	19.8141603934407	2089.25904925463
ION_42_05M	29643.8298922695	3764.5720273309	17829.2229165609	100344.274751161	83531.8457495042	44040.2763696	23793.1845416712	46617.5944976779	23790.1455463344	5843.195517255	322.326582747349	28304.4048137282	48741.3160043967	43591.4445055159	1430.73893055126	9670.27586845106	400199.607649673	56910.3478622076	5103.86320537336	2232.83471213191	21068.3373970557	438.468744665372	60.3422529433379	4.1916905107474	2723.35797068364
ION_45_05M	13497.7780013517	5321.37080062417	11199.9760515879	49745.2813780212	78890.8143638035	10904.6892193893	6575.7257266496	58219.2077521636	12143.855940075	8173.05793241308	156.136765759143	3349.51470678384	19443.4746502752	74243.4539421514	2526.05157312284	22076.8997135394	495076.538781333	99826.7801502268	12760.831265277	2815.8959389143	8150.51812540407	585.257847343578	16.3817147703223	5.31048063362907	4295.19717838598
ION_48_05M	17859.1624268159	6814.08218476583	13318.8089096048	35372.60429639	189488.533558085	11542.8111132222	8308.13007233676	133771.710612739	16804.7385830198	10961.6191919919	129.549835930282	1710.46775603843	12440.1201791791	73343.7335102483	2581.28618911572	25151.8274692248	327257.466098154	80292.5766134967	12039.2712029277	9537.86774552039	3872.11457747326	816.553558447495	37.1998159240447	12.0591100998225	6535.70538924897
IOS_52_05M	10277.3496388642	4544.20222573551	6096.55589882346	10883.112244004	8518.53791046675	3984.96136429664	3046.9432241721	127675.833523039	9383.75423825816	9526.72058169492	353.114016819983	1018.58471620528	355.916371821639	31478.7977576869	5257.12890629732	460276.548131975	53507.0663734963	17432.6887031092	124405.320227348	89223.4170659766	17893.1694806316	686.213778935092	4.72185143473639	13.7761955055045	4155.5655734025
IOS_56_05M	16301.9675574684	5732.52749455359	8898.13048572119	49709.4385572692	18284.6603209951	17358.025286803	6426.98349024097	165901.464657694	12369.934029122	10696.1923132102	46.470674203394	26973.7921333111	12860.1291016087	66827.955841783	5131.19669726987	135072.329780632	282697.353247925	65980.2654919538	46732.4029095443	38856.6438270802	480.238963128092	863.564734348873	31.691771126686	0	5766.6406330076
IOS_57_05M	23735.9407751621	8842.32061997584	14585.0069707153	58173.8500854371	25836.6711664469	25398.0682841467	10473.5905367989	126803.95432859	21668.8476061004	18390.4541494459	197.39015275195	90287.8922907301	19844.6067824101	85368.5535473868	2861.17436842144	58058.7994336841	296417.404614592	69534.9513926885	16999.1822015189	12529.3729136739	1376.1072504178	1929.14996153645	0	14.5460888287081	10672.1644785398
IOS_62_05M	17090.8125822316	4619.00099375944	8619.33402871691	30525.0276490567	14245.005585294	16762.3318465224	9841.91080214615	123273.839378324	56544.4677925656	9580.82877993682	107.066103714192	64948.0057657325	17721.5346840281	66510.6851166763	2373.53296399433	24148.2165155577	426558.937142316	86589.3652145487	5795.7438162713	7681.73810946121	936.67428223268	795.843942414436	10.8172225060575	0	4719.27968199215
IOS_64_05M	38592.8284303059	18369.180180305	23264.6748122306	62695.6973160575	82043.2302128308	18038.3778858804	12960.5602446439	149065.040948351	29771.0268799901	37536.5594587392	620.260448469128	52443.0519664068	11645.6034476574	128991.110543283	5865.58260904694	65611.5434903631	153117.895813372	46226.607043587	18369.7772483469	18346.7338817151	3274.330666277	2654.54239969857	0	0	20495.7840724429
IOS_65_05M	35674.7369572232	22366.4256145199	24326.4469044154	52206.3511998141	46773.8729271057	19203.4007777166	13261.2711648952	82341.2496825533	25963.8768850598	41837.9132690954	1589.26732861684	37038.3970829551	7445.78434713894	115792.259741882	6635.24897006103	80122.808834807	190057.184070105	39438.0600552475	23786.5819384136	13064.3155446419	94551.8420039343	3711.47224453176	0	0	22811.2324552667
MED_18_05M	30235.6536078215	60608.8423386842	6913.05078615348	17486.7614949261	14580.0692651859	8231.26759182678	19469.9009961663	138421.721616438	11987.721000776	13007.3793246023	79699.6908098893	8177.63832634126	29838.9320385264	236248.206160337	11197.9099860865	6321.94552674802	10621.5292989539	101975.844090052	9452.18338797743	34680.298322854	32930.3097411121	29666.6758083179	26812.3661872344	28635.710543053	32798.3917499365
MED_23_05M	11923.2820651555	173102.771581673	1020.90445759004	2229.28179955761	1699.25923238409	1700.77755614941	12372.2291643603	8230.79124390616	1428.81606273756	1423.54617564692	275815.273198835	43788.6895540209	35565.2601937783	17653.5091913468	1006.90014886599	279.494981139518	370.672730703622	7112.68407402554	464.573369311376	2494.04008893141	97958.7085302062	90225.9197382285	58520.4482219003	79048.3150319798	74563.8516075657
MED_25_05M	15417.6265328649	179724.434019011	1146.18374909158	2292.30631818623	1773.13145174448	2324.60017090476	18540.3890301233	4992.71996636116	1789.40077438168	1262.3217865114	272445.409873973	46495.3635376474	56771.3443284021	18615.0228892333	943.464074114029	327.889621394224	332.255872914231	4742.12036179083	275.573497758874	2471.42916288397	79318.5475555657	84357.8443746256	58222.3467231133	74433.9710866008	70984.3032408025
MED_30_05M	25837.7290359694	241343.077307139	2872.09686397001	10370.8719565506	26325.0319081297	8555.61919309778	29475.9980614809	9466.61427093406	5681.02477023219	2279.72089069078	250470.553341809	3039.10110880452	76814.7890130024	23765.7178354084	855.550808758293	410.167845405733	460.180961204468	6951.3549713958	388.41159100741	2538.83229184842	55938.4150248774	67475.8680645899	43333.8614118214	51468.1894164255	53881.2220554473
PON_132_05M	26868.1967155373	11314.8958315758	49088.3796252528	158073.781817923	195874.329181509	25549.64776481	15893.9536388125	177110.719382311	18836.7722683955	12547.7288580549	251.923548934128	2456.53408709679	40328.2715846857	104731.782186123	6185.20126820273	5684.71001758755	77850.4332460193	45830.5940164438	9317.17975014315	6880.98419446971	1239.73222541075	1200.38368470855	132.15784579951	77.115188670565	6674.592071523
PON_133_05M	7999.26916764445	6267.68051087436	3809.27580200079	8409.45660361243	7792.1338877653	3662.70933975258	2390.75827607472	21810.3314065542	5582.25966764524	8057.77851901679	4982.97494225382	301.312354359878	807.076845642909	37271.525397826	699766.38969008	1580.95619078935	5718.29078220804	110550.972929637	24131.0499219479	17753.7391882742	2508.83445905817	3119.16493196939	2450.16270588284	2436.42345400621	10839.4730251235
