	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
S0373_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0385_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0390_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0407_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0412_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0416_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0445_30M	30	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0292_30.1M	30.1	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0114_30.2M	30.2	0-50	0-100	EPI	N_ITCZ	AON	34.5-35.0	18-20.9
S0312_30.6M	30.6	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0279_30.7M	30.7	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0274_30.8M	30.8	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0302_30.8M	30.8	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0307_30.9M	30.9	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0323_30.9M	30.9	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0254_31M	31	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0338_31M	31	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0346_31M	31	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0368_31M	31	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0449_31.2M	31.2	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0049_31.3M	31.3	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	21-23.9
S0244_31.8M	31.8	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
S0356_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0395_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0400_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0427_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0432_32M	32	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
